BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
CAPRI SUN,Fruit Juices,14493
HELLMANN'S/BEST FOODS,Condiments,14461
LIFESAVERS,Candy,14431
NEUTROGENA,Hair Removal,14188
SNYDERS OF HANOVER,Pretzels,14162
DAWN SIMPLY CLEAN,Bath & Body,14154
WEGMANS,Bath & Body,14036
CHEEZ IT,Crackers,13919
CHOBANI,Yogurt,13790
GLACEAU,Water,13782
WHITE CLAW HARD SELTZER,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",13614
KIT KAT,Candy,13468
ARM & HAMMER,Hair Care,13316
TYSON,Packaged Meat,13220
GAMESA,Candy,13176
Oscar Mayer,Prepared Meals,13151
TOTINOS,Frozen Pizza & Pizza Snacks,12992
MODELO,Beer,12918
PREDO,Wine,12917
EXTRA,Gum,12828
GILLETTE VENUS,Hair Removal,12805
CASEYS GEN STORE,Cookies,12766
SMIRNOFF ICE,Malt Beverages,12684
SMIRNOFF,Spirits,12404
HEINEKEN,Beer,12374
KNORR,Cooking & Baking,12359
GOLD PEAK,Tea,12342
PREGO,Red Pasta Sauce,12265
CREST,Oral Care,12191
LUXURY EDITION,Wine,12165
Lance,Fruit & Vegetable Snacks,11858
STARBURST,Candy,11713
HERSHEYS WHOPPERS,Candy,11605
JIMMY DEAN,"Cereal, Granola, & Toaster Pastries",11604
ED,Wine,11404
FRITO LAY,Chips,11380
CLOROX FRAGANZIA,Bath & Body,11301
MCALISTERS DELI,Fruit Juices,11220
BELVINO,Wine,11218
BAILEYS,Spirits,11177
HEINZ,Condiments,11135
PARENTS CHOICE,Bath & Body,11123
PURE LEAF,Tea,11091
NEW BELGIUM PRIMUS MURAL VARIETY PACK,Beer,10990
DR PEPPER,Cooking & Baking,10983
LIPTON BOTTLED ICED TEA,Tea,10898
CHEERIOS,"Cereal, Granola, & Toaster Pastries",10876
PAPERMATE,Household Supplies,10866
Kit Kat,Candy,10839
HIDDEN VALLEY RANCH,Dips & Salsa,10661
M&M'S,Candy,10622
PEPPERIDGE FARM,Crackers,10613
SLIM JIM,Jerky & Dried Meat,10553
BOUNTY,Household Supplies,10542
MINUTE MAID PREMIUM,Fruit Juices,10540
CLOUD BREAK,Wine,10532
SIERRA,Hair Removal,10451
FOLGERS,Coffee,10431
DIET COKE CAFFEINE FREE,Carbonated Soft Drinks,10275
MALTA INDIA,Beer,10229
SMUCKERS UNCRUSTABLES,Nut Butters & Jam,10208
CELSIUS,Carbonated Soft Drinks,10203
ARIZONA,Fruit Juices,10113
KRAFT,Dips & Salsa,10084
DIGIORNO,Frozen Pizza & Pizza Snacks,9994
BALL PARK POP UPS,Bread,9922
RAGU,Red Pasta Sauce,9894
EVRIHOLDER,Bath & Body,9839
Pace,Cooking & Baking,9698
CHEX MIX,Snack Mixes,9680
BACARDI PARTY DRINKS BACARDI USA,Spirits,9661
JOSE CUERVO,Spirits,9653
BAREFOOT,Wine,9584
FOUR LOKO PREGAME,Malt Beverages,9550
RAGU,Sauces & Marinades,9385
SWEETWATER,Beer,9349
TOSTITOS,Dips & Salsa,9299
PERDUE,Packaged Meat,9254
Prego,Sauces & Marinades,9112
LAND O LAKES,Prepared Meals,9072
BARQ'S,Carbonated Soft Drinks,9003
JIM BEAM,Spirits,8964
CASEYS GEN STORE,Puffed Snacks,8920
MUG ROOT BEER,Carbonated Soft Drinks,8824
BACARDI,Spirits,8777
LIVE FOR TOMORROW,Bath & Body,8769
NERDS,Candy,8738
CLOROX,Cooking & Baking,8730
BANQUET,Frozen Meals,8693
BETTY CROCKER,Packaged Meat,8677
TASTY,Wine,8640
KAHLUA,Spirits,8579
SANTITAS,Chips,8567
OLD SPICE,Deodorant & Antiperspirant,8557
BUTTERCREAM,Wine,8517
CELSIUS,Sports Drinks,8479
LOW HANGING FRUIT,Wine,8450
ARNOLD BROWNBERRY OROWEAT,Bread,8390
USH BLUEBERRIES,Candy,8385
KELLOGGS,Rice & Grains,8368
LIPTON,Tea,8313
PALO VIEJO PALO READY,Spirits,8249
MISSION,Chips,8246
DUNKIN,Coffee,8244
NATURE'S BAKERY,Bakery,8244
CINNAMON TOAST CRUNCH,"Cereal, Granola, & Toaster Pastries",8237
Swanson,Soup & Broth,8208
CANYON OAKS,Wine,8141
MCALISTERS DELI,Cookies,8133
CARSON RIDGE,Wine,8114
SMUCKER'S UNCRUSTABLES,Frozen Vegetables,8054
IMPERIAL,Butter & Margarine,8028
SOUTHERN TIER BREWING COMPANY,Beer,8019
KROGER HOME SENSE,Bath & Body,8014
SPICE WORLD,Cooking & Baking,7982
SNACK PACK,Snack Mixes,7938
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934
SARA LEE ARTESANO,Bakery,7912
BIMBO BREAD,Bread,7888
SIMPLY ORANGE,Fruit Juices,7874
HONEY BUNCHES OF OATS,"Cereal, Granola, & Toaster Pastries",7865
TIDE,Laundry Supplies,7861
RUFFLES,Fruit & Vegetable Snacks,7855
PREDO,Baby Bathing,7852
GROVE CO,Bath & Body,7754
LUNCHABLES,Prepared Meals,7748
BLUE BUFFALO,Cooking & Baking,7745
SPALIFE,Bath & Body,7680
SIMPLE TRUTH,Bath & Body,7675
OLD EL PASO,Bread,7670
GERBER,Baby Bathing,7637
SCOTT,Household Supplies,7619
PROPEL,Drink Mixes,7619
FIELD AND FARM,Wine,7605
SUNKIST,Carbonated Soft Drinks,7587
FRITO-LAY,Chips,7585
LAGUNITAS,Beer,7582
TWIZZLERS,Candy,7571
BACARDI PARTY DRINKS,Spirits,7481
COOL WHIP,Frozen Desserts,7462
PROGRESSO,Soup & Broth,7459
HELLMANNS BEST FOODS,Condiments,7427
KIND,Frozen Meals,7392
MCALISTERS DELI,Carbonated Soft Drinks,7387
BERTOLLI,Frozen Meals,7341
FRITOS,Fruit & Vegetable Snacks,7319
PERDUE,Puffed Snacks,7311
TESORO DELLA REGINA,Wine,7297
ATKINS,Cooking & Baking,7288
ORBIT,Gum,7268
CHARMIN,Household Supplies,7263
MINUTE MAID,Carbonated Soft Drinks,7226
DOLE,Fruit Juices,7224
DASANI,Water,7219
TITOS,Spirits,7210
3 MUSKETEERS,Candy,7159
COCKTAIL ARTIST,Drink Mixes,7153
CAPE COD,Chips,7123
MEIJER,Hair Removal,7112
ORE-IDA,Frozen Meals,7108
KIND,Nuts & Seeds,7058
UNO MAS,Wine,7054
FRITOS,Chips,7043
VEUVE DU VERNAY,Wine,7037
99,Spirits,7008
BRISK,Tea,6994
NEW AMSTERDAM PINK WHITNEY,Spirits,6960
DERMASSAGE,Bath & Body,6957
FISHER-PRICE,Household Supplies,6940
DAVES KILLER BREAD,Bread,6913
CORN NUTS,Nuts & Seeds,6898
RED STRIPE,Beer,6887
GLAD,Household Supplies,6822
FRUITY PEBBLES,"Cereal, Granola, & Toaster Pastries",6807
GIANT,Candy,6804
FIREBALL,Malt Beverages,6776
RASCAL & FRIENDS,Potty Training,6768
DIXON,Cooking & Baking,6752
BIRDS EYE,Makeup,6732
BIC,Makeup,6730
BRISK,Carbonated Soft Drinks,6704
JIMMY DEAN,Frozen Breakfast,6658
LIFEWTR,Water,6658
BIG SIPPER,Wine,6615
FOUNDERS,Beer,6610
Twizzlers,Candy,6536
OUI BY YOPLAIT,Yogurt,6528
SMARTFOOD,Puffed Snacks,6518
SUTTER HOME,Wine,6516
CASEYS GEN STORE,Carbonated Soft Drinks,6488
KINGSFORD,Cooking & Baking,6470
CASTELLO DEL POGGIO,Wine,6421
CASEYS GEN STORE,Cooking & Baking,6388
REMAINING BRND,Household Supplies,6369
GREENIES,Cooking & Baking,6364
KEVITA,Carbonated Soft Drinks,6352
HOMELINE,Bath & Body,6331
VLASIC,Sauces & Marinades,6298
PHILADELPHIA,Cheese,6285
CAFE BUSTELO,Coffee,6272
DIAL,Bath & Body,6246
FROOT LOOPS,"Cereal, Granola, & Toaster Pastries",6236
MCALISTERS DELI,Cheese,6224
ECCENTRIC,Wine,6214
PINALEN,Bath & Body,6208
RANCHO LA GLORIA,Wine,6190
KOOL AID,Drink Mixes,6161
WELLSLEY FARMS,Wine,6158
CASEYS GEN STORE,Chips,6146
SKINNYPOP,Puffed Snacks,6118
SAMUEL ROBERT WINERY,Wine,6106
PHILADELPHIA CREAM CHEESE,Cheese,6090
GREAT LAKES,Beer,6053
MOTT'S,Fruit Juices,6042
KRUSTEAZ,Cooking & Baking,6031
SUNCHIPS,Chips,6019
PARROT BAY,Spirits,6010
QUAKER LIFE,"Cereal, Granola, & Toaster Pastries",6002
SEVENTH GENERATION,Bath & Body,5973
HARMONY,Household Supplies,5961
BALL PARK POP UPS,Bakery,5920
HUNT'S,Sauces & Marinades,5912
SOCIAL,Wine,5898
UTZ,Chips,5892
NAKED,Fruit Juices,5877
SUAVE,Oral Care,5843
HORIZON,Milk,5835
BARILLA,Chips,5816
LIPTON,Soup & Broth,5804
STOUFFERS,Frozen Pizza & Pizza Snacks,5794
CORONA,Spirits,5790
JINRO,Spirits,5787
RITAS,Cooking & Baking,5755
HUGGIES,Eggs,5742
STUDIO SELECTION,Deodorant & Antiperspirant,5736
TINY UMBRELLAS,Wine,5720
KLONDIKE,Frozen Desserts,5709
VALUE,Bath & Body,5699
LUNAZUL,Spirits,5697
ANGEL SOFT,Household Supplies,5676
POPCORNERS,Puffed Snacks,5675
Goldfish,Candy,5674
IMPERIAL,Beer,5647
KETTLE BRAND,Chips,5638
HERSHEYS SYRUPS,Candy,5634
HILL COUNTRY FARE,Drink Mixes,5633
V8,Carbonated Soft Drinks,5625
LUCKY SUPER SOFT,Bath & Body,5594
PURE LEAF BOTTLED BEVERAGES,Tea,5592
FIRESTONE,Beer,5590
TROLLI,Candy,5583
EVER SPRING,Bath & Body,5549
GREAT LAKES VARIETY PACK,Beer,5518
U BY KOTEX,Feminine Hygeine,5516
STELLA ARTOIS,Beer,5505
JUICY JUICE,Fruit Juices,5503
PEPPERIDGE FARM,Cookies,5498
ALWAYS,Feminine Hygeine,5497
HAWAIIAN PUNCH,Fruit Juices,5489
MOTTS,Fruit & Vegetable Snacks,5489
CHIPS AHOY!,Chips,5484
RIVATA,Wine,5481
POWERADE ION4,Sports Drinks,5445
RED WHITE AND BLUE,Beer,5443
INTERNATIONAL DELIGHT,Coffee,5402
COCA-COLA LIFE,Carbonated Soft Drinks,5382
GREAT LAKES CHRISTMAS ALE,Beer,5377
FLYBIRD,Wine,5365
MOTTS,Packaged Fruit & Applesauce,5352
MIO,Carbonated Soft Drinks,5342
LYSOL,Cooking & Baking,5307
MCALISTERS DELI,Chips,5289
FOSTER,Cooking & Baking,5280
KNORR,Soup & Broth,5272
KROGER,Household Supplies,5255
COUNTRY CROCK,Butter & Margarine,5249
CLEANZE,Bath & Body,5240
PEDIGREE,Cooking & Baking,5226
WILDWOOD,Carbonated Soft Drinks,5208
CHESTERS,Puffed Snacks,5205
CHEX,"Cereal, Granola, & Toaster Pastries",5187
HONEY NUT CHEERIOS,"Cereal, Granola, & Toaster Pastries",5171
JOHNNIE WALKER BLACK LABEL,Spirits,5155
WALGREENS,Bath & Body,5154
LYSOL,Household Cleaning Supplies,5150
MOLLIE STONE'S BEST,Fruit Juices,5144
JELL-O,Cooking & Baking,5143
CHRISTIAN BROTHERS,Spirits,5135
MILLER LITE,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",5123
BUSCH LIGHT,Beer,5119
YUKON JACK,Spirits,5115
JAMESON,Spirits,5100
FUNYUNS,Puffed Snacks,5084
TALENTI,Frozen Desserts,5076
MCCAIN,Frozen Vegetables,5074
DOVE MEN+CARE,Bath & Body,5066
PILLSBURY,Cookies,5065
KEEL AND CURLEY WINERY,Wine,5031
FIREBRAND,Wine,5005
DANIMALS,Yogurt,4997
CHOCO VINE,Wine,4986
WESTERN SON,Spirits,4968
SMUCKERS,Nut Butters & Jam,4953
SCRUB FREE PLUS OXI CLEAN,Bath & Body,4949
GERM X,Bath & Body,4926
EAU DE JUICE,Deodorant & Antiperspirant,4919
UNANIME,Wine,4901
METHOD,Bath & Body,4892
TAJIN,Dips & Salsa,4891
ICE BREAKERS,Gum,4883
AIR WICK,Hair Care,4882
YELLOW TAIL,Wine,4877
HEAD COUNTRY,Packaged Meat,4876
BIG SKY BREWING COMPANY,Beer,4844
ZONIN,Wine,4843
Taco Bell,Cooking & Baking,4833
CLASSICO,Sauces & Marinades,4832
KROGER,Water,4823
5 GUM,Gum,4813
MULTIPLE VALUE,Beer,4812
MCALISTERS DELI,Water,4804
GOLDFISH,Crackers,4767
CLIF,Chips,4764
Hershey's,Candy,4749
BLUE DIAMOND ALMONDS,Nuts & Seeds,4747
QUAKER,Chips,4735
SEAGRAMS,Malt Beverages,4727
CROWN ROYAL,Spirits,4717
CALVERT,Spirits,4707
BAI,Fruit Juices,4685
DEGREE,Deodorant & Antiperspirant,4674
READY PAC BISTRO,Cooking & Baking,4651
SHEEP DOG,Spirits,4650
DOVE,Deodorant & Antiperspirant,4648
TYLENOL,Medicines & Treatments,4642
NESTLE,Milk,4636
TWISTED TEA,Malt Beverages,4622
POWERADE OPTION,Sports Drinks,4605
CORE HYDRATION,Water,4595
MILKYWAY,Candy,4589
PAM,Cooking & Baking,4571
Capri Sun,Fruit Juices,4535
A&W,Carbonated Soft Drinks,4531
LA CROIX,Carbonated Soft Drinks,4530
LUC BELAIRE,Wine,4523
UP AND UP,Hair Removal,4521
BUSCH,Spirits,4514
BALL PARK,Packaged Meat,4501
REMY MARTIN,Spirits,4500
ESSENTIA,Water,4486
GOOD DAY,Spirits,4476
REESES PUFFS,"Cereal, Granola, & Toaster Pastries",4472
NATURE VALLEY,Nuts & Seeds,4455
AJAX,Household Supplies,4443
KNORR,Rice & Grains,4427
ENSIGN RED,Spirits,4421
HERSHEYS KISSES,Candy,4399
TEREMANA,Spirits,4395
MAKERS MARK,Spirits,4394
EDGE,Hair Removal,4391
7 UP,Carbonated Soft Drinks,4386
COORS LIGHT,Makeup,4379
MEIJER,Bath & Body,4374
GLADE,Hair Care,4370
WELCH'S,Fruit Juices,4369
LOS CABOS,Spirits,4369
SMARTLY,Hair Removal,4362
DEGREE MEN,Deodorant & Antiperspirant,4343
PEARL MILLING CO,"Cereal, Granola, & Toaster Pastries",4341
HILLSHIRE FARM,Packaged Meat,4314
York,Candy,4292
FOUR LOKO,Malt Beverages,4258
BOLTHOUSE FARMS,Fruit Juices,4230
MCALISTERS DELI,Milk,4223
CASEYS GEN STORE,Beer,4222
BUDWEISER,Beer,4221
GOYA,Packaged Vegetables,4204
TOPO CHICO HARD SELTZER,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",4175
PARFUMSBELCAM,Body Fragrances,4169
POST,"Cereal, Granola, & Toaster Pastries",4148
ROCKSTAR,Carbonated Soft Drinks,4147
BUSCH LIGHT,Spirits,4147
CRUZ ALTA,Wine,4110
GARNIER,Hair Care,4110
DAUTREFOIS,Wine,4109
HUBBA BUBBA,Gum,4103
DOUBLEMINT,Gum,4092
BIG RED,Gum,4085
ALLAGASH,Beer,4064
KLEENEX,Household Supplies,4052
PROPEL,Water,4043
CUPCAKE VINEYARDS,Wine,4029
EARTH TO SKIN,Bath & Body,4027
NEUTROGENA,Skin Care,4024
THE OHSO CO.,Household Supplies,4022
FAGE,Yogurt,4001
ROSE ALL DAY,Wine,3999
CALIFIA FARMS,Coffee,3993
KROGER,Fruit Juices,3985
BLUE BUFFALO,Dog Supplies,3976
HUNT'S,Condiments,3975
VITA COCO,Fruit Juices,3974
NOOSA,Yogurt,3971
FRITOS,Dips & Salsa,3964
READY PAC BISTRO,Nut Butters & Jam,3944
FOREVER MINE,Deodorant & Antiperspirant,3936
COTTONELLE,Household Supplies,3930
BIMBO,Snack Cakes,3914
COCA COLA,Carbonated Soft Drinks,3901
DIET COKE,Carbonated Soft Drinks,3888
NEW AMSTERDAM,Spirits,3879
AXION,Bath & Body,3878
PAMPERS,Diapering,3869
ROPITEAU,Wine,3849
KOOL-AID,Water,3846
ACT II,Puffed Snacks,3843
JARRITOS,Carbonated Soft Drinks,3840
CASEYS GEN STORE,Tea,3837
1800,Spirits,3815
SCHIAVONE,Wine,3807
CLOROX,Household Cleaning Supplies,3804
CLARITIN,Medicines & Treatments,3798
CASCADE,Bath & Body,3798
POPOV,Spirits,3795
BALLAST POINT,Beer,3780
CRYSTAL LIGHT,Drink Mixes,3777
NESCAFE,Coffee,3770
STONEFIRE,Bread,3758
BOB EVANS,Packaged Meals & Sides,3748
BODY COLOGY,Body Fragrances,3744
A3,Wine,3743
BEECHNUT,Crackers,3732
DOVE CHOCOLATE,Candy,3730
NO BRAND LISTED,Drink Mixes,3708
CHOBANI FLIP,Yogurt,3702
DG BODY,Bath & Body,3692
BELVITA,Cookies,3681
LUCKY CHARMS,"Cereal, Granola, & Toaster Pastries",3665
BUGLES,Chips,3654
KARBACH,Malt Beverages,3647
FEBREZE,Hair Care,3645
LISTERINE,Bath & Body,3644
NATURE VALLEY,Crackers,3637
MILITARY SPECIAL,Spirits,3626
DOVE MEN+CARE,Deodorant & Antiperspirant,3618
KROGER,Carbonated Soft Drinks,3617
NATURESWEET,Packaged Vegetables,3615
BROKEN KNIGHT,Drink Mixes,3609
SUAVE,Deodorant & Antiperspirant,3599
KELLOGG'S,"Cereal, Granola, & Toaster Pastries",3594
Pepperidge Farm,Cooking & Baking,3587
SUGAR MAPLE,Wine,3587
MAYBELLINE,Makeup,3583
BLACK VELVET,Spirits,3580
LEINENKUGELS,Beer,3578
DANNON,Yogurt,3564
DIGIORNO PIZZA,Frozen Pizza & Pizza Snacks,3545
BUD LIGHT,Spirits,3545
COCOA PUFFS,"Cereal, Granola, & Toaster Pastries",3537
BETTY CROCKER,Cookies,3536
TRULY SPIKED & SPARKLING,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",3523
STARBUCKS COFFEE,Coffee,3513
TAMPAX,Feminine Hygeine,3507
PUFFS,Household Supplies,3500
LOST COAST,Beer,3500
KINKY ALOHA,Malt Beverages,3499
2 TOWNS CIDERHOUSE,Fruit Juices,3495
NESTLE,Carbonated Soft Drinks,3492
MODELO ESPECIAL,Spirits,3476
GOYA,Rice & Grains,3469
BLUE BUNNY,Frozen Meals,3453
OUTSHINE,Frozen Fruits,3451
POWER CRUNCH,Nuts & Seeds,3447
HONEY COMB,"Cereal, Granola, & Toaster Pastries",3447
COCA-COLA CHERRY,Carbonated Soft Drinks,3445
PEARL MILLING COMPANY,"Cereal, Granola, & Toaster Pastries",3442
Campbell's,Soup & Broth,3438
PILLSBURY OTHER,Cooking & Baking,3437
ARIANA GRANDE,Deodorant & Antiperspirant,3431
STRONGBOW,Fruit Juices,3417
FRIO LIGHT,Beer,3400
MUNCHIES,Snack Mixes,3383
OIKOS,Yogurt,3381
WECLEAN,Bath & Body,3373
MIKES HARD,Malt Beverages,3362
STUDIO 35,Bath & Body,3359
BLUE MOON,Beer,3341
WACHUSETT,Beer,3327
NEON BURST,Malt Beverages,3326
PRIVATE LABEL,Household Supplies,3320
CATCH FIRE,Spirits,3320
SKREWBALL,Spirits,3319
CRIMSON RANCH,Wine,3284
RUBBERMAID,Household Supplies,3276
ZING ZANG,Drink Mixes,3274
CAP'N CRUNCH,"Cereal, Granola, & Toaster Pastries",3271
BIG K,Carbonated Soft Drinks,3269
SUCCESS,Cooking & Baking,3262
SABRA,Dips & Salsa,3260
FRUIT GUSHERS,Fruit & Vegetable Snacks,3248
BUBBL'R,Carbonated Soft Drinks,3238
STONE,Beer,3226
MARGARITAVILLE,Spirits,3216
INNOVATIVE DESIGNS,Household Supplies,3206
WELCHS JUICEFULS,Fruit & Vegetable Snacks,3198
BALL PARK FRANK,Packaged Meat,3186
MARINELA,Cookies,3186
MIKES HARD VARIETY PACK,Malt Beverages,3180
ORGANICGIRL,Cooking & Baking,3174
CLUBTAILS,Malt Beverages,3168
JACK DANIELS,Spirits,3157
GAIN,Laundry Supplies,3154
CHEF BOYARDEE,Soup & Broth,3153
ANGRY ORCHARD,Fruit Juices,3148
HEINEKEN 00,Beer,3144
DIXIE,Spirits,3141
OLEMA,Wine,3140
MARINELA,Snack Cakes,3132
WHIP SHOTS,Drink Mixes,3131
DUNKIN' DONUTS,Coffee,3130
PENNS BEST NA,Beer,3115
RICE KRISPIES,Crackers,3101
SQUIRT,Carbonated Soft Drinks,3092
SIERRA NEVADA,Beer,3083
Knudsen,Eggs,3078
BODY ARMOR SUPERDRINK,Sports Drinks,3063
KOOL-AID JAMMERS,Fruit Juices,3059
MILOS,Tea,3053
KING MAUI,Wine,3032
STUDIO SELECTION,Body Fragrances,3026
JAGERMEISTER,Spirits,3026
MARTIN HOUSE BREWING COMPANY,Beer,3022
ARNOLD PALMER SPIKED,Malt Beverages,3021
LAKEFRONT BREWERY INC,Beer,3020
PERDUE,Prepared Meals,3016
KERASAL,Bath & Body,3013
SIMPLY VALUE,Household Supplies,3008
CLASSICO,Alfredo & White Pasta Sauce,3005
SUAVE,Hair Care,3004
CHOBANI,Coffee,3000
EL MONTEREY,Frozen Meals,2995
SENSODYNE,Medicines & Treatments,2983
BOBS RED MILL,Cooking & Baking,2970
VENNSTONE,Wine,2949
MODERN EXPRESSIONS,Bath & Body,2949
STACYS,Chips,2944
POPSICLE,Frozen Desserts,2939
TROPIC ISLE PALMS,Spirits,2937
TEMPTATIONS,Medicines & Treatments,2935
MALTIN POLAR,Malt Beverages,2931
ALEXIA,Frozen Chicken,2924
DAXTON,Hair Removal,2923
GROOVI BEAUTY,Bath & Body,2921
SHOTTYS,Spirits,2918
MEOW MIX,Drink Mixes,2916
Heath,Candy,2911
SWITCHBACK,Beer,2898
JIF,Cooking & Baking,2896
GARDETTOS,Candy,2892
CRUSH SODA,Carbonated Soft Drinks,2886
BETTY CROCKER,Packaged Meals & Sides,2884
WINE CUBE,Wine,2881
ATHENOS,Eggs,2877
WICKED WEED BREWING,Beer,2868
GOLDSCHLAGER,Spirits,2866
GREY POUPON,Condiments,2865
STARRY,Carbonated Soft Drinks,2851
TRESEMME,Hair Care,2826
